Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,JP225
2015/3/31,247.453995,248.729996,242.738998,244.223999,#N/A,19206.99
2015/4/1,244.223007,247.541,241.160004,247.272003,#N/A,19034.84
2015/4/2,247.089005,254.460999,245.416,253.005005,#N/A,19312.79
2015/4/3,253.074005,256.042999,251.878998,254.322006,#N/A,19435.08
2015/4/4,254.291,255.257996,251.100006,253.697006,#N/A,#N/A
2015/4/5,253.761002,260.674988,251.942001,260.597992,#N/A,#N/A
2015/4/6,260.721008,261.798004,254.574997,255.492004,#N/A,19397.98
2015/4/7,255.274002,255.804993,252.205002,253.179993,#N/A,19640.54
2015/4/8,253.063995,253.847,244.214996,245.022003,#N/A,19789.81
2015/4/9,244.751007,246.117996,239.399994,243.675995,#N/A,19937.72
2015/4/10,243.694,243.694,232.770996,236.072006,#N/A,19907.63
2015/4/11,236.016006,239.537003,234.175003,236.552002,#N/A,#N/A
2015/4/12,236.535004,237.727997,233.494995,236.153,#N/A,#N/A
2015/4/13,235.949997,236.934998,221.996002,224.587006,#N/A,19905.46
2015/4/14,224.759003,224.975998,216.322998,219.158997,#N/A,19908.68
2015/4/15,219.072998,223.832993,218.649002,223.832993,#N/A,19869.76
2015/4/16,223.917007,229.671997,223.917007,228.572998,#N/A,19885.77
2015/4/17,228.574997,228.906006,221.942001,222.882004,#N/A,19652.88
2015/4/18,222.852997,224.315994,220.876007,223.356003,#N/A,#N/A
2015/4/19,223.455994,226.352997,222.373001,222.600006,#N/A,#N/A
2015/4/20,222.612,226.350998,221.977005,224.626007,#N/A,19634.49
2015/4/21,224.619995,235.268997,224.300995,235.268997,#N/A,19909.09
2015/4/22,235.602005,237.908997,233.475998,234.175995,#N/A,20133.9
2015/4/23,234.052994,236.475006,233.199005,236.462006,#N/A,20187.65
2015/4/24,235.970001,236.304993,229.932999,231.268005,#N/A,20020.04
2015/4/25,231.235001,232.561005,226.337006,226.389999,#N/A,#N/A
2015/4/26,226.410004,226.944,214.873993,219.429993,#N/A,#N/A
2015/4/27,219.429001,233.304993,218.022995,229.285995,#N/A,19983.32
2015/4/28,228.968994,229.494995,223.069,225.854996,#N/A,20058.95
2015/4/29,225.591003,227.039993,223.429993,225.807999,#N/A,#N/A
2015/4/30,225.692993,239.563004,224.992996,236.145004,#N/A,19520.01
2015/5/1,235.938995,238.966003,232.078995,232.078995,#N/A,19531.63
2015/5/2,232.341003,235.727005,232.341003,234.929993,#N/A,#N/A
2015/5/3,234.880005,243.240005,234.082993,240.358002,#N/A,#N/A
2015/5/4,240.356003,242.638,237.809998,239.018005,#N/A,#N/A
2015/5/5,238.852005,239.203995,232.054001,236.121002,#N/A,#N/A
2015/5/6,236.248993,236.453995,229.231003,229.781998,#N/A,#N/A
2015/5/7,229.662003,239.104996,228.572998,237.334,#N/A,19291.99
2015/5/8,237.203995,246.274994,236.274002,243.863007,#N/A,19379.19
2015/5/9,243.768997,247.804001,239.639008,241.832001,#N/A,#N/A
2015/5/10,241.729004,244.067993,238.848999,240.296005,#N/A,#N/A
2015/5/11,240.298996,244.270004,239.376007,242.158005,#N/A,19620.91
2015/5/12,242.145004,242.880997,240.098999,241.112,#N/A,19624.84
2015/5/13,241.397995,243.703995,235.044998,236.376999,#N/A,19764.72
2015/5/14,236.214005,237.798996,234.057007,236.929001,#N/A,19570.24
2015/5/15,236.955002,238.753006,236.794998,237.604996,#N/A,19732.92
2015/5/16,237.643997,237.697006,235.294998,236.153,#N/A,#N/A
2015/5/17,236.009995,238.024994,236.009995,236.802002,#N/A,#N/A
2015/5/18,236.886993,237.210007,232.460007,233.128006,#N/A,19890.27
2015/5/19,233.037003,234.151001,231.817001,231.947006,#N/A,20026.38
2015/5/20,231.889999,234.682999,231.841995,234.018005,#N/A,20196.56
2015/5/21,234.016006,236.242004,233.835007,235.343994,#N/A,20202.87
2015/5/22,235.320999,240.968994,235.059998,240.348007,#N/A,20264.41
2015/5/23,240.285995,241.024994,238.690994,238.871994,#N/A,#N/A
2015/5/24,238.975998,241.977997,238.811005,240.953003,#N/A,#N/A
2015/5/25,240.927002,241.020996,236.636993,237.110001,#N/A,20413.77
2015/5/26,237.104004,238.242004,235.692001,237.115997,#N/A,20437.48
2015/5/27,237.065002,238.636002,236.695007,237.283005,#N/A,20472.58
2015/5/28,237.257004,237.824005,236.651993,237.408005,#N/A,20551.46
2015/5/29,237.376999,237.522003,235.731003,237.095993,#N/A,20563.15
2015/5/30,237.091995,237.093002,232.046005,233.345001,#N/A,#N/A
2015/5/31,233.134995,233.251999,229.542007,230.190002,#N/A,#N/A
2015/6/1,230.233002,231.712997,221.296005,222.925995,#N/A,20569.87
2015/6/2,222.893997,226.416,222.419006,225.802994,#N/A,20543.19
2015/6/3,225.735992,227.404007,223.929993,225.873993,#N/A,20473.51
2015/6/4,225.772003,226.580994,224.054001,224.324005,#N/A,20488.19
2015/6/5,224.154007,225.968002,223.179001,224.951996,#N/A,20460.9
2015/6/6,225.005005,225.718994,224.378998,225.619003,#N/A,#N/A
2015/6/7,225.595993,226.194,222.651993,222.880997,#N/A,#N/A
2015/6/8,222.878998,229.464005,222.839005,228.488998,#N/A,20457.19
2015/6/9,228.537994,230.953995,227.929001,229.048004,#N/A,20096.3
2015/6/10,228.994995,229.781998,228.009995,228.802994,#N/A,20046.36
2015/6/11,228.854996,230.287003,228.766998,229.705002,#N/A,20382.97
2015/6/12,229.705002,231.057007,229.313004,229.981995,#N/A,20407.08
2015/6/13,229.919998,232.651993,229.210007,232.401993,#N/A,#N/A
2015/6/14,232.442001,234.858002,232.003998,233.542999,#N/A,#N/A
2015/6/15,233.421997,237.835999,233.421997,236.822998,#N/A,20387.79
2015/6/16,236.764999,251.742004,236.121994,250.895004,#N/A,20257.94
2015/6/17,250.822998,256.852997,246.475998,249.283997,#N/A,20219.27
2015/6/18,249.427994,252.108002,244.126999,249.007004,#N/A,19990.82
2015/6/19,249.042999,250.977005,243.787003,244.606003,#N/A,20174.24
2015/6/20,244.529999,245.828003,240.626999,245.212006,#N/A,#N/A
2015/6/21,245.100006,245.223999,241.882004,243.944,#N/A,#N/A
2015/6/22,243.968994,247.917007,243.779007,246.990005,#N/A,20428.19
2015/6/23,246.927002,247.304001,243.132996,244.296005,#N/A,20809.42
2015/6/24,244.281998,244.341003,240.514999,240.514999,#N/A,20868.03
2015/6/25,240.365005,243.332001,240.365005,242.798996,#N/A,20771.4
2015/6/26,242.604004,243.748993,241.552994,243.593994,#N/A,20706.15
2015/6/27,243.548996,251.339005,243.117004,250.990005,#N/A,#N/A
2015/6/28,250.955002,251.171997,247.434006,249.011002,#N/A,#N/A
2015/6/29,248.720993,257.173004,248.580994,257.063995,#N/A,20109.95
2015/6/30,257.036011,267.867004,255.945999,263.071991,#N/A,20235.73
2015/7/1,263.345001,265.171997,255.774002,258.621002,#N/A,20329.32
2015/7/2,258.552002,261.631012,254.115997,255.412003,#N/A,20522.5
2015/7/3,255.459,257.076996,253.505005,256.335999,#N/A,20539.79
2015/7/4,256.490997,261.457001,254.199997,260.885986,#N/A,#N/A
2015/7/5,260.804993,274.506012,258.700989,271.912994,#N/A,#N/A
2015/7/6,271.108002,277.421997,267.600006,269.029999,#N/A,20112.12
2015/7/7,269.963013,271.341003,264.832001,266.207001,#N/A,20376.59
2015/7/8,265.981995,272.971008,264.385986,270.785004,#N/A,19737.64
2015/7/9,270.826996,272.334991,267.085999,269.227997,#N/A,19855.5
2015/7/10,269.156006,294.591003,268.802002,284.894012,#N/A,19779.83
2015/7/11,284.880005,298.506012,283.529999,293.11499,#N/A,#N/A
2015/7/12,293.140015,314.394012,292.505005,310.867004,#N/A,#N/A
2015/7/13,310.826996,310.947998,281.010986,292.053986,#N/A,20089.77
2015/7/14,292.033997,296.147003,286.638,287.463989,#N/A,20385.33
2015/7/15,288.045013,293.247986,285.367004,285.82901,#N/A,20463.33
2015/7/16,286.041992,291.183014,275.23999,278.088989,#N/A,20600.12
2015/7/17,278.091003,280.279999,272.042999,279.471985,#N/A,20650.92
2015/7/18,279.330994,282.527008,274.075012,274.901001,#N/A,#N/A
2015/7/19,274.766998,275.670013,272.513,273.614014,#N/A,#N/A
2015/7/20,273.498993,278.980988,272.959991,278.980988,#N/A,#N/A
2015/7/21,278.881989,280.546997,275.419006,275.833008,#N/A,20841.97
2015/7/22,275.657013,277.665985,274.381012,277.221985,#N/A,20593.67
2015/7/23,277.341003,278.110992,275.716003,276.049011,#N/A,20683.95
2015/7/24,276.005005,289.252991,275.253998,288.278015,#N/A,20544.53
2015/7/25,288.164001,290.733002,286.002014,288.696991,#N/A,#N/A
2015/7/26,288.640015,293.052002,287.705994,292.686005,#N/A,#N/A
2015/7/27,292.639008,297.773987,287.450012,293.623993,#N/A,20350.1
2015/7/28,293.632996,296.648987,293.423004,294.427002,#N/A,20328.89
2015/7/29,294.484009,294.536011,288.777008,289.589996,#N/A,20302.91
2015/7/30,289.102997,290.126007,286.567993,287.721985,#N/A,20522.83
2015/7/31,287.696014,288.959015,282.343994,284.649994,#N/A,20585.24
2015/8/1,284.686005,284.932007,278.112,281.601013,#N/A,#N/A
2015/8/2,280.449005,283.032013,277.528992,282.614014,#N/A,#N/A
2015/8/3,282.806,285.471008,280.233002,281.22699,#N/A,20548.11
2015/8/4,281.225006,285.714996,281.225006,285.217987,#N/A,20520.36
2015/8/5,284.846985,285.501007,281.488007,281.881989,#N/A,20614.06
2015/8/6,281.906006,281.906006,278.403015,278.576996,#N/A,20664.44
2015/8/7,278.740997,280.391998,276.365997,279.584991,2.77,20724.56
2015/8/8,279.742004,279.928009,260.709991,260.997009,0.7533,#N/A
2015/8/9,261.115997,267.002991,260.467987,265.083008,0.7019,#N/A
2015/8/10,265.477997,267.032013,262.596008,264.470001,0.7084,20808.69
2015/8/11,264.34201,270.385986,264.093994,270.385986,1.07,20720.75
2015/8/12,270.597992,270.673004,265.468994,266.376007,1.22,20392.77
2015/8/13,266.183014,266.231995,262.841003,264.079987,1.83,20595.55
2015/8/14,264.131989,267.466003,261.477997,265.679993,1.83,20519.45
2015/8/15,265.528992,266.666992,261.29599,261.550995,1.69,#N/A
2015/8/16,261.865997,262.440002,257.040985,258.506989,1.57,#N/A
2015/8/17,258.48999,260.505005,257.117004,257.976013,1.2,20620.26
2015/8/18,257.925995,257.993011,211.078995,211.078995,1.09,20554.47
2015/8/19,225.671005,237.408997,222.766006,226.684006,1.26,20222.63
2015/8/20,226.899002,237.365005,226.899002,235.350006,1.46,20033.52
2015/8/21,235.354996,236.432007,231.723999,232.569,1.4,19435.83
2015/8/22,232.662003,234.957001,222.703995,230.389999,1.38,#N/A
2015/8/23,230.376007,232.705002,225.580002,228.169006,1.35,#N/A
2015/8/24,228.112,228.139008,210.442993,210.494995,1.23,18540.68
2015/8/25,210.067993,226.320999,199.567001,221.608994,1.14,17806.7
2015/8/26,222.076004,231.182999,220.203995,225.830994,1.16,18376.83
2015/8/27,226.050003,228.643005,223.684006,224.768997,1.15,18574.44
2015/8/28,224.701004,235.218994,220.925995,231.395996,1.19,19136.32
2015/8/29,231.548996,233.222,227.330002,229.779999,1.18,#N/A
2015/8/30,229.895004,232.067993,226.246994,228.761002,1.32,#N/A
2015/8/31,229.113998,231.955994,225.914993,230.056,1.36,18890.48
2015/9/1,230.255997,231.216003,226.860001,228.121002,1.35,18165.69
2015/9/2,228.026993,230.576996,226.475006,229.283997,1.29,18095.4
2015/9/3,229.324005,229.604996,226.667007,227.182999,1.26,18182.39
2015/9/4,227.214996,230.899994,227.050995,230.298004,1.27,17792.16
2015/9/5,230.199005,236.143005,229.442993,235.018997,1.34,#N/A
2015/9/6,234.869995,242.912003,234.681,239.839996,1.3,#N/A
2015/9/7,239.934006,242.106003,238.722,239.847,1.25,17860.47
2015/9/8,239.845993,245.781006,239.677994,243.606995,1.24,17427.08
2015/9/9,243.414993,244.416,237.820999,238.167999,1.21,18770.51
2015/9/10,238.335999,241.292999,235.791,238.477005,1.17,18299.62
2015/9/11,238.328995,241.169006,238.328995,240.106995,0.983,18264.22
2015/9/12,239.854996,240.123993,234.753998,235.229004,1.04,#N/A
2015/9/13,235.242004,235.934998,229.332001,230.511993,0.936,#N/A
2015/9/14,230.608994,232.440002,227.960999,230.643997,0.8756,17965.7
2015/9/15,230.492004,259.182007,229.822006,230.304001,0.9444,18026.48
2015/9/16,230.25,231.214996,227.401993,229.091003,0.9072,18171.6
2015/9/17,229.076004,230.285004,228.925995,229.809998,0.8742,18432.27
2015/9/18,233.520996,234.352997,232.184998,232.975006,0.8537,18070.21
2015/9/19,232.858002,233.205002,231.089005,231.492996,0.8824,#N/A
2015/9/20,231.399002,232.365005,230.910004,231.212006,0.9384,#N/A
2015/9/21,231.216995,231.216995,226.520996,227.085007,0.919,#N/A
2015/9/22,226.968994,232.386002,225.117004,230.617996,0.9018,#N/A
2015/9/23,230.936005,231.835007,229.591003,230.283005,0.8934,#N/A
2015/9/24,230.358002,235.649002,230.294998,234.529007,0.8136,17571.83
2015/9/25,234.362,237.427002,233.684006,235.143997,0.7362,17880.51
2015/9/26,235.076004,235.403,233.358002,234.339996,0.786,#N/A
2015/9/27,234.139008,234.526001,232.475998,232.757004,0.7208,#N/A
2015/9/28,232.835999,239.339005,232.466995,239.141998,0.5829,17645.11
2015/9/29,239.016006,239.802002,235.927994,236.686996,0.6611,16930.84
2015/9/30,236.639999,237.733994,235.628998,236.059998,0.7386,17388.15
2015/10/1,236.003998,238.445007,235.615997,237.548996,0.6902,17722.42
2015/10/2,237.264008,238.541,236.602997,237.292999,0.6786,17725.13
2015/10/3,237.201996,239.315002,236.944,238.729996,0.6872,#N/A
2015/10/4,238.531006,238.968002,237.940002,238.259003,0.6684,#N/A
2015/10/5,238.147003,240.382996,237.035004,240.382996,0.6286,18005.49
2015/10/6,240.363998,246.934998,240.136002,246.063004,0.6506,18186.1
2015/10/7,246.169998,246.681,242.585007,242.968994,0.6094,18322.98
2015/10/8,243.074997,244.251007,242.179001,242.304001,0.6217,18141.17
2015/10/9,242.498001,244.227997,242.121994,243.931,0.6506,18438.67
2015/10/10,243.740005,245.319,243.074005,244.940994,0.6279,#N/A
2015/10/11,244.742004,247.242996,244.151993,247.050003,0.635,#N/A
2015/10/12,246.875,247.453995,245.179001,245.307999,0.626,#N/A
2015/10/13,245.199997,250.235992,243.757004,249.507996,0.6077,18234.74
2015/10/14,249.492996,254.274994,248.903,251.988998,0.523,17891
2015/10/15,252.106995,255.962006,252.046005,254.320007,0.5619,18096.9
2015/10/16,254.296005,266.13501,253.925995,262.868988,0.5365,18291.8
2015/10/17,262.747009,273.578003,262.367004,270.640015,0.5472,#N/A
2015/10/18,270.907013,271.667999,260.777008,261.643005,0.5177,#N/A
2015/10/19,261.860992,264.820007,260.950989,263.437012,0.489,18131.23
2015/10/20,263.571991,270.834991,263.22699,269.463013,0.4348,18207.15
